KIND:nbs
UNITS:mm
INTERVAL:month
LOCATION:stc
# Sample data for GLRRM
#YYYY,    Jan,      Feb,      Mar,      Apr,      May,      Jun,     Jul,      Aug,      Sep,     Oct,     Nov,      Dec
1996,   541.89,   683.24,    482.93,   1025.55,   790.47,   690.14,   51.11,   -51.38,   452.33,   428.01,   454.54,   901.51
1997,   689.09,  1249.18,   1224.24,    393.82,   684.01,   266.19,   33.13,   32.34,   78.17,   47.75,   182.57,   327.43
1998,   874.44,   705.07,   1102.67,    427.76,   122.64,   -0.36,   -11.20,   49.62,   -62.11,   -6.35,   52.99,   79.50
1999,   527.40,   343.90,    338.92,    412.87,   62.23,   73.33,   -17.01,   -68.42,   -15.68,   31.95,   112.21,   345.28
2000,   170.21,   379.78,    272.81,    562.58,   489.85,   499.08,   461.83,   304.89,   273.29,   189.31,   209.00,   343.55
2001,   240.55,  1323.62,    676.31,    485.70,   194.88,   166.77,   -100.66,   -32.31,   78.26,   653.83,   408.51,   692.55
2002,   341.14,   779.34,    610.22,    775.23,   390.21,   132.99,   -10.33,   -80.97,   -46.97,   -2.82,   143.48,   139.92
2003,    44.50,    65.40,    679.42,    533.06,   497.54,   160.84,   -67.53,   -28.93,   25.49,   116.50,   596.14,   677.78
2004,   351.32,   274.56,   1321.59,    331.50,   1182.82,   251.88,   64.96,   82.17,   -51.03,   74.18,   191.18,   500.06
2005,  1058.38,   879.99,    696.94,    724.14,   206.25,   42.81,   8.54,   -42.42,   11.87,   3.31,   225.89,   427.10
2006,   917.50,   867.38,   1111.12,    436.89,   334.90,   93.75,   115.16,   47.77,   115.30,   987.25,   605.86,   1052.97
2007,   959.97,    90.23,   1157.08,    420.90,   307.85,   -18.58,   -61.29,   68.21,   -36.34,   22.51,   78.59,   444.33
2008,   821.26,   890.26,   1067.35,    861.16,   137.50,   259.51,   118.17,   -12.64,   347.58,   102.57,   724.36,   1487.74
2009,   450.55,  1405.77,   1328.27,    937.36,   534.34,   370.60,   81.40,   154.58,   16.98,   176.61,   115.94,   319.49
2010,   234.96,   136.68,    715.70,    421.22,   512.07,   240.34,   85.96,   -70.86,   40.63,   91.95,   223.05,   240.12
2011,   468.14,   587.52,   1882.11,   1039.46,   1201.67,   279.84,   88.41,   31.89,   230.43,   525.23,   624.41,   1266.52
2012,   777.45,   470.32,    562.68,     93.31,   160.64,   0.47,   10.10,   -5.94,   -21.17,   91.14,   138.98,   296.71
2013,   726.41,   559.71,    805.16,   1473.34,   279.02,   373.31,   227.51,   21.36,   191.66,   359.89,   500.11,   482.28
2014,   580.88,   260.17,    636.99,   1364.36,   494.09,   135.55,   82.05,   146.75,   298.68,   90.15,   466.63,   793.08
2015,   329.71,    59.62,    667.09,    981.64,   243.85,   433.03,   29.53,   25.81,   19.99,   343.60,   344.04,   679.23
