KIND:nbs
UNITS:mm
INTERVAL:month
LOCATION:mich-huron
# Sample data for GLRRM
#YYYY,    Jan,     Feb,     Mar,      Apr,      May,      Jun,     Jul,     Aug,    Sep,      Oct,     Nov,     Dec
1998,   71.77,   63.36,  158.55,   174.69,   100.98,    99.95,   37.24,   67.42,   28.14,   14.01,    3.32,  -25.54
1999,   38.93,   55.28,   28.21,   138.19,   117.32,   120.22,  131.17,   27.45,   24.00,   -3.84,   -6.16,    1.75
2000,  -14.25,   43.72,   85.77,   101.53,   184.03,   142.81,  100.67,   78.78,   64.81,    9.41,   20.08,  -18.03
2001,   22.12,   86.38,   60.68,   186.38,   184.78,   139.08,   39.86,   89.90,  107.26,  135.49,   90.55,   49.19
2002,    6.58,   51.67,  117.33,   208.39,   188.55,   158.14,   91.12,   75.88,   15.66,    6.02,  -19.95,  -45.71
2003,  -16.72,   33.98,   97.90,   154.05,   179.99,   119.46,  113.75,   68.82,   34.55,   41.61,  137.02,   40.92
2004,   14.60,   46.43,  180.68,   147.19,   289.66,   152.54,  106.09,   50.47,    5.50,   36.34,   32.62,   29.35
2005,   72.67,   88.89,   77.73,   142.82,    92.59,    99.30,   75.08,   65.16,   50.72,   -0.42,   60.89,   13.36
2006,  101.70,   65.88,  121.66,   176.28,   175.63,    79.91,  106.83,   58.96,   61.05,   84.85,   71.62,  118.07
2007,   47.96,   11.43,  146.71,   153.53,   102.34,   100.67,   67.90,   77.03,   26.30,   75.53,  -28.24,   31.95
2008,  133.63,  121.08,  105.68,   253.69,   169.01,   208.21,  131.71,   63.74,  115.33,   19.40,   49.88,  126.59
2009,   66.92,  132.06,  155.95,   223.72,   187.70,   157.55,   91.38,  122.29,   40.42,  127.17,   56.95,   55.76
2010,   28.18,   44.18,   77.07,   101.35,   125.68,   206.28,  148.57,   75.42,  103.90,   21.27,   22.98,   19.53
2011,   45.77,   57.23,  122.82,   257.89,   208.88,   160.56,   98.00,   51.08,   52.08,   67.30,   50.57,   48.83
2012,   51.62,   46.13,  157.39,    81.37,   101.84,    85.44,   40.78,   19.80,   -6.68,   75.75,  -11.90,   33.90
2013,   54.93,   83.53,   86.12,   282.02,   209.52,   143.08,   87.74,   70.61,   24.26,   83.55,   88.16,    8.88
2014,   36.87,   38.94,   62.72,   193.81,   184.54,   151.82,  107.47,  102.53,   95.87,  118.72,   53.77,   22.90
2015,   13.91,   18.03,   50.81,   140.38,   154.24,   138.50,   65.32,   58.12,   50.58,    0.13,   60.23,  103.83
