KIND:nbs
UNITS:mm
INTERVAL:mn
LOCATION:sup
# Sample data for GLRRM
#YYYY,    Jan,     Feb,     Mar,      Apr,      May,      Jun,      Jul,      Aug,     Sep,     Oct,     Nov,    Dec
1997,   27.76,   -0.80,   66.96,   132.16,   179.63,   113.32,   114.84,    68.02,   40.67,   22.69,   -3.84,  -18.59
1998,  -18.52,   18.23,   56.64,    90.29,    72.70,   122.19,    47.16,    39.77,   11.95,   22.59,   11.80,  -37.72
1999,  -14.85,   10.49,    6.27,   141.50,   203.22,   139.22,   196.07,    90.99,   78.12,   55.16,  -10.33,  -55.35
2000,  -48.24,  -10.70,   83.67,    68.15,   121.68,   181.41,    87.23,    62.38,   18.52,    1.71,  -10.04, -100.87
2001,  -26.03,  -20.69,   -2.34,   311.12,   209.51,   126.00,    82.18,    66.22,    5.95,   40.68,   46.51,   -5.99
2002,  -56.05,  -28.12,   -1.98,   161.79,   150.32,   130.03,   102.84,    86.35,   94.35,   58.65,  -41.67,  -87.93
2003,  -69.01,    2.35,   49.46,   125.48,   182.06,    75.94,   130.43,    83.53,   89.87,   35.32,   16.34,  -12.03
2004,  -29.81,   14.58,   60.84,   159.01,   180.48,   116.46,    94.88,    78.99,   68.13,   79.90,  -12.51,  -49.28
2005,  -38.80,   -0.51,   -2.41,   124.62,   121.36,   138.63,    57.50,    39.82,   66.99,  118.64,   69.30,   -1.50
2006,    3.23,  -29.02,   44.63,   142.15,   174.47,    64.88,    81.86,    15.65,   12.20,  -22.70,  -21.41,   -5.18
2007,  -53.53,  -58.50,   59.57,    83.62,    83.86,   107.24,    84.82,    29.07,  126.55,  185.68,  -27.74,  -17.54
2008,   -8.45,  -11.42,   11.19,   177.34,   165.90,   198.47,   149.14,    64.56,   67.06,   11.62,   15.51,  -32.58
2009,  -21.62,   20.49,   50.77,   137.21,   139.25,   115.48,   112.26,   149.34,   46.23,   59.32,   36.91,  -24.49
2010,  -25.39,  -21.23,   40.09,    41.29,    67.61,   124.07,    84.52,    77.07,   89.73,   21.42,   16.13,  -55.74
2011,  -35.95,  -29.88,    8.65,   141.41,   160.77,   143.85,    99.22,    39.33,   26.04,   10.24,    2.52,  -20.34
2012,  -29.97,  -12.83,  100.11,    86.65,   146.27,   173.36,    89.14,    10.47,  -11.17,   48.13,   -9.12,  -37.94
2013,  -48.92,   13.23,    7.27,   116.20,   268.08,   156.22,   192.89,   106.58,   71.89,   42.99,   22.15,  -35.05
2014,  -26.04,    6.03,   20.09,   214.95,   283.12,   173.69,   117.76,   107.72,   92.90,   71.98,   13.19,   42.05
2015,  -20.96,   -9.25,   45.62,   116.91,   190.22,   143.58,   105.33,    98.57,   74.17,   28.19,   73.93,   73.58
